"SamplePeriod","TriggerSample","CompressedData"
"0.00000001","127418","True"
"SampleNumber","CS","MISO","MOSI","SCK"
"0017105","0","0","1","0"
"0017124","0","1","1","0"
"0017125","0","0","1","0"
"0017141","0","1","1","0"
"0017142","0","0","1","0"
"0017146","0","1","1","0"
"0017147","0","0","1","0"
"0017148","0","0","1","0"
"0017149","0","1","1","0"
"0017150","0","1","1","0"
"0017151","0","0","1","0"
"0017162","0","1","1","0"
"0017163","0","0","1","0"
"0017170","0","1","1","0"
"0017171","0","0","1","0"
"0017679","0","1","1","0"
"0017680","0","0","1","0"
"0017804","0","1","1","0"
"0017805","0","0","1","0"
"0017806","0","0","1","0"
"0017807","0","1","1","0"
"0017808","0","0","1","0"
"0017948","0","1","1","0"
"0017949","0","0","1","0"
"0017963","0","1","1","0"
"0017964","0","0","1","0"
"0017968","0","1","1","0"
"0017969","0","1","1","0"
"0017970","0","0","1","0"
"0017971","0","1","1","0"
"0017972","0","0","1","0"
"0018742","0","1","1","0"
"0018743","0","0","1","0"
"0018757","0","1","1","0"
"0018758","0","0","1","0"
"0018765","0","1","1","0"
"0018766","0","0","1","0"
"0018812","0","1","1","0"
"0018813","0","0","1","0"
"0018817","0","1","1","0"
"0018818","0","0","1","0"
"0018819","0","0","1","0"
"0018820","0","1","1","0"
"0018821","0","0","1","0"
"0018842","0","1","1","0"
"0018843","0","0","1","0"
"0018850","0","1","1","0"
"0018851","0","0","1","0"
"0018867","0","1","1","0"
"0018868","0","0","1","0"
"0018920","0","1","1","0"
"0018921","0","0","1","0"
"0018928","0","1","1","0"
"0018929","0","1","1","0"
"0018930","0","0","1","0"
"0018949","0","1","1","0"
"0018950","0","1","1","0"
"0018951","0","0","1","0"
"0018960","0","1","1","0"
"0018961","0","0","1","0"
"0019403","0","1","1","0"
"0019404","0","1","1","0"
"0019405","0","0","1","0"
"0019419","0","1","1","0"
"0019420","0","0","1","0"
"0019534","0","1","1","0"
"0019535","0","0","1","0"
"0019620","0","1","1","0"
"0019621","0","0","1","0"
"0019634","0","1","1","0"
"0019635","0","0","1","0"
"0019662","0","1","1","0"
"0019663","0","0","1","0"
"0019717","0","1","1","0"
"0019718","0","0","1","0"
"0019722","0","1","1","0"
"0019723","0","0","1","0"
"0019735","0","1","1","0"
"0019736","0","0","1","0"
"0019740","0","1","1","0"
"0019741","0","0","1","0"
"0020256","0","1","1","0"
"0020257","0","0","1","0"
"0020514","0","1","1","0"
"0020515","0","0","1","0"
"0020522","0","1","1","0"
"0020523","0","0","1","0"
"0020540","0","1","1","0"
"0020541","0","0","1","0"
"0020545","0","1","1","0"
"0020546","0","0","1","0"
"0020591","0","1","1","0"
"0020592","0","0","1","0"
"0020596","0","1","1","0"
"0020597","0","0","1","0"
"0020598","0","0","1","0"
"0020599","0","1","1","0"
"0020600","0","0","1","0"
"0020604","0","1","1","0"
"0020605","0","0","1","0"
"0020616","0","1","1","0"
"0020617","0","0","1","0"
"0020621","0","1","1","0"
"0020622","0","0","1","0"
"0020641","0","1","1","0"
"0020642","0","0","1","0"
"0020646","0","1","1","0"
"0020647","0","0","1","0"
"0020663","0","1","1","0"
"0020664","0","0","1","0"
"0020688","0","1","1","0"
"0020689","0","0","1","0"
"0020707","0","1","1","0"
"0020708","0","1","1","0"
"0020709","0","0","1","0"
"0020710","0","1","1","0"
"0020711","0","0","1","0"
"0020728","0","1","1","0"
"0020732","0","0","1","0"
"0020742","0","1","1","0"
"0020743","0","0","1","0"
"0021271","0","1","1","0"
"0021272","0","0","1","0"
"0021304","0","1","1","0"
"0021305","0","0","1","0"
"0021310","0","1","1","0"
"0021311","0","0","1","0"
"0021406","0","1","1","0"
"0021407","0","0","1","0"
"0021454","0","1","1","0"
"0021455","0","0","1","0"
"0021537","0","1","1","0"
"0021538","0","0","1","0"
"0021552","0","1","1","0"
"0021553","0","0","1","0"
"0021554","0","0","1","0"
"0021555","0","1","1","0"
"0021556","0","0","1","0"
"0021560","0","1","1","0"
"0021561","0","0","1","0"
"0022362","0","1","1","0"
"0022363","0","0","1","0"
"0022380","0","1","1","0"
"0022381","0","0","1","0"
"0022414","0","1","1","0"
"0022415","0","0","1","0"
"0022422","0","1","1","0"
"0022423","0","0","1","0"
"0022444","0","1","1","0"
"0022445","0","0","1","0"
"0022452","0","1","1","0"
"0022453","0","0","1","0"
"0022464","0","1","1","0"
"0022465","0","0","1","0"
"0022502","0","1","1","0"
"0022503","0","0","1","0"
"0022539","0","1","1","0"
"0022540","0","0","1","0"
"0022544","0","1","1","0"
"0022545","0","0","1","0"
"0022546","0","0","1","0"
"0022547","0","1","1","0"
"0022548","0","0","1","0"
"0022568","0","1","1","0"
"0022569","0","0","1","0"
"0023077","0","1","1","0"
"0023078","0","0","1","0"
"0023091","0","1","1","0"
"0023092","0","0","1","0"
"0023281","0","1","1","0"
"0127418","0","1","0","1"
"0127419","0","0","0","1"
"0127420","0","0","0","1"
"0127421","0","0","0","0"
"0127422","0","0","0","0"
"0127423","0","0","1","1"
"0127424","0","1","1","1"
"0127425","0","1","1","1"
"0127426","0","1","1","0"
"0127427","0","1","1","0"
"0127428","0","1","0","1"
"0127429","0","0","0","1"
"0127430","0","0","0","1"
"0127431","0","0","0","0"
"0127432","0","0","0","0"
"0127433","0","0","1","1"
"0127434","0","1","1","1"
"0127435","0","1","1","1"
"0127436","0","1","1","0"
"0127437","0","1","1","0"
"0127438","0","1","0","1"
"0127439","0","0","0","1"
"0127440","0","0","0","1"
"0127441","0","0","0","0"
"0127442","0","0","0","0"
"0127443","0","0","1","1"
"0127444","0","1","1","1"
